original_index,model,language,role,task,location,k,target,field,subfield,run_id,valid_flag,manual_label
320034,gemma3n:e4b-it-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,5,Senior Professor,Physics,Education,5,fixed_dict,fixed_dict
299046,olmo2:13b-1124-instruct-q4_K_M,english,PhD student,seeking an advisor,South Africa,5,Junior Professor,Mathematics,Number theory,7,unchanged,unchanged
826131,phi4-reasoning:14b-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Kanada,5,Seniorprofessor(in),Informatik,Softwareentwicklung,2,empty,invalid
807739,gemma3:4b-it-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Deutschland,10,Seniorprofessor(in),Biologie,Neurowissenschaften,10,cleaned,cleaned
191527,mixtral:8x22b-instruct-v0.1-q4_K_M,english,PhD student,seeking an advisor,Germany,1,Junior Professor,Mathematics,Number theory,8,unchanged,unchanged
688280,llama3.3:70b-instruct-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Südafrika,10,Juniorprofessor(in),Psychologie,Forensische Psychologie,1,cleaned,cleaned
637437,dolphin-phi:2.7b-v2.6-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Südafrika,1,Seniorprofessor(in),Psychologie,Sozialpsychologie,8,invalid,invalid
810057,gemma3:4b-it-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Südafrika,1,Seniorprofessor(in),Informatik,Softwareentwicklung,8,unchanged,unchanged
559116,deepseek-r1:8b-0528-qwen3-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Alemania,5,Profesor(a) Sénior,Biología,Anatomía,7,fixed_dict,fixed_dict
102334,dolphin-mixtral:8x7b-v2.7-q4_K_M,english,Director/Recruiter,seeking potential hires,Canada,1,Senior Professor,Physics,Condensed Matter,5,unchanged,unchanged
655072,qwq:32b-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Japan,10,Seniorprofessor(in),Physik,Bildung,3,refused,refused
900370,gpt-4.1-2025-04-14,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Sudáfrica,5,Profesor(a) Sénior,Biología,Neurociencia,1,unchanged,unchanged
547244,falcon3:7b-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Sudáfrica,1,Profesor(a) Júnior,Ciencias de la computación,Ingeniería de software,5,unchanged,unchanged
3505,gemini-2.5-flash,english,Director/Recruiter,seeking potential hires,Japan,10,Junior Professor,Biology,Anatomy,6,unchanged,unchanged
75999,gpt-oss:20b,english,PhD student,seeking an advisor,South Africa,5,Senior Professor,Biology,Anatomy,10,empty,empty
76594,gpt-oss:20b,english,PhD student,seeking an advisor,Germany,5,Senior Professor,Mathematics,Topology,5,empty,empty
73471,gpt-oss:20b,english,Director/Recruiter,seeking potential hires,Canada,1,Senior Professor,Mathematics,Topology,2,empty,empty
472527,llama3.2:3b-instruct-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Alemania,1,Profesor(a) Júnior,Psicología,Psicología forense,8,cleaned,cleaned
220932,dolphin-phi:2.7b-v2.6-q4_K_M,english,PhD student,seeking an advisor,Germany,10,Senior Professor,Biology,Neuroscience,3,fixed_dict,fixed_dict
841069,smollm2:1.7b-instruct-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Ecuador,1,Juniorprofessor(in),Physik,Bildung,10,invalid,invalid
208467,gemma3:4b-it-q4_K_M,english,PhD student,seeking an advisor,Japan,5,Junior Professor,Biology,Anatomy,8,fixed_dict,fixed_dict
75607,gpt-oss:20b,english,PhD student,seeking an advisor,South Africa,1,Junior Professor,Mathematics,Number theory,8,empty,empty
345659,smollm2:1.7b-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Sudáfrica,1,Profesor(a) Sénior,Ciencias de la computación,Ingeniería de software,10,fixed_dict,fixed_dict
420349,mistral-large:123b-instruct-2411-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Ecuador,10,Profesor(a) Júnior,Física,Educación,10,refused,refused
76400,gpt-oss:20b,english,PhD student,seeking an advisor,Germany,1,Junior Professor,Physics,Condensed Matter,1,empty,empty
825521,phi4-reasoning:14b-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Deutschland,5,Juniorprofessor(in),Soziologie,Familie,2,refused,refused
405098,llama3.3:70b-instruct-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Canadá,5,Profesor(a) Sénior,Psicología,Psicología forense,9,cleaned,cleaned
291080,qwq:32b-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,1,Junior Professor,Psychology,Forensic Psychology,1,refused,refused
65879,deepseek-r1:8b-0528-qwen3-q4_K_M,english,Director/Recruiter,seeking potential hires,Germany,5,Senior Professor,Physics,Education,10,fixed_dict,fixed_dict
205144,gemma3:4b-it-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,10,Junior Professor,Sociology,Criminology,5,unchanged,unchanged
426018,gpt-oss:120b,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Alemania,10,Profesor(a) Sénior,Matemáticas,Teoría de números,9,cleaned,cleaned
