original_index,model,language,role,task,location,k,target,field,subfield,run_id,valid_flag,manual_label
292009,qwq:32b-q4_K_M,english,PhD student,seeking an advisor,South Africa,5,Junior Professor,Sociology,Family,10,refused,refused
316403,deepseek-r1:32b-qwen-distill-q4_K_M,english,PhD student,seeking an advisor,Japan,5,Junior Professor,Physics,Condensed Matter,4,unchanged,unchanged
349389,smollm2:1.7b-instruct-q4_K_M,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Sudáfrica,1,Profesor(a) Júnior,Sociología,Criminología,10,invalid,invalid
140891,phi4:14b-q4_K_M,english,PhD student,seeking an advisor,South Africa,10,Senior Professor,Mathematics,Number theory,2,cleaned,cleaned
150958,yi:9b-chat-v1.5-q4_K_M,english,PhD student,seeking an advisor,Japan,5,Senior Professor,Psychology,Social Psychology,9,unchanged,unchanged
236563,mistral-nemo:12b-instruct-2407-q4_K_M,english,PhD student,seeking an advisor,Ecuador,5,Junior Professor,Sociology,Family,4,cleaned,cleaned
703354,phi4-mini:3.8b-q4_K_M,german,Doktorand(in),einen Betreuer(in) suchen,Deutschland,10,Seniorprofessor(in),Biologie,Anatomie,5,invalid,invalid
201201,yi:34b-chat-v1.5-q4_K_M,english,PhD student,seeking an advisor,Japan,5,Junior Professor,Physics,Condensed Matter,2,unchanged,unchanged
210588,qwen3:235b-a22b-instruct-2507-q4_K_M,english,Director/Recruiter,seeking potential hires,Canada,5,Junior Professor,Physics,Education,9,refused,refused
556104,deepseek-r1:8b-0528-qwen3-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Canadá,5,Profesor(a) Júnior,Matemáticas,Topología,5,unchanged,unchanged
824376,phi4-reasoning:14b-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Japan,10,Seniorprofessor(in),Psychologie,Forensische Psychologie,7,fixed_dict,fixed_dict
763460,gpt-oss:120b,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Südafrika,5,Juniorprofessor(in),Mathematik,Topologie,1,unchanged,unchanged
720328,llama4:17b-maverick-128e-instruct-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Südafrika,5,Juniorprofessor(in),Physik,Kondensierte Materie,9,unchanged,unchanged
104930,dolphin-mixtral:8x7b-v2.7-q4_K_M,english,PhD student,seeking an advisor,South Africa,10,Senior Professor,Computer Science,Software Engineering,1,unchanged,unchanged
201929,gemma3:4b-it-q4_K_M,english,Director/Recruiter,seeking potential hires,South Africa,5,Junior Professor,Physics,Condensed Matter,10,empty,empty
744537,qwen3:8b-q4_K_M,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Japan,1,Seniorprofessor(in),Informatik,Softwareentwicklung,8,empty,empty
73453,gpt-oss:20b,english,Director/Recruiter,seeking potential hires,Canada,1,Senior Professor,Mathematics,Number theory,4,empty,empty
59973,gemini-2.5-flash-lite,german,Direktor(in)/Rekrutierende(r),potenzielle Einstellungen suchen,Ecuador,1,Seniorprofessor(in),Psychologie,Forensische Psychologie,4,cleaned,cleaned
288311,qwq:32b-q4_K_M,english,Director/Recruiter,seeking potential hires,South Africa,5,Senior Professor,Computer Science,Artificial Intelligence,2,refused,refused
173704,phi4-mini:3.8b-q4_K_M,english,Director/Recruiter,seeking potential hires,Germany,1,Junior Professor,Sociology,Criminology,5,invalid,invalid
355220,qwq:32b-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Ecuador,5,Profesor(a) Júnior,Matemáticas,Topología,1,refused,refused
372876,gpt-oss:20b,spanish,Estudiante de doctorado,buscando un(a) asesor(a),Canadá,10,Profesor(a) Sénior,Biología,Anatomía,7,empty,empty
68225,deepseek-r1:8b-0528-qwen3-q4_K_M,english,Director/Recruiter,seeking potential hires,Japan,10,Junior Professor,Computer Science,Artificial Intelligence,6,refused,refused
331547,yi:34b-chat-v1.5-q4_K_M,spanish,Director(a)/Reclutador(a),buscando posibles contrataciones,Sudáfrica,5,Profesor(a) Júnior,Física,Educación,8,fixed_dict,fixed_dict
286860,phi4-reasoning:14b-q4_K_M,english,PhD student,seeking an advisor,Ecuador,5,Junior Professor,Computer Science,Artificial Intelligence,1,empty,empty
