sample_index,Researcher_id,Name,perceived_ethnicity,__ethnicity_confidence,__ethnicity_source
0,31353847.0,Shahid  Yamin,Unknown,0.0,unknown
1,153557758.0,Jun-Ying  Zheng,Asian,0.9993414282798768,demographicx
2,1723245.0,M.  Marcon,Hispanic or Latino,0.6674062013626099,demographicx
3,145145105.0,John  Mills,Asian,0.5687457323074341,demographicx
4,145493030.0,M.  Jasim,Asian,0.9990899562835692,demographicx
5,153095947.0,Jacobsen  Thomas,Black or African American,0.5757886171340942,demographicx
6,79459409.0,Hoskins  Jm,Black or African American,0.9704332947731018,demographicx
7,153904773.0,Ezekiel  Maier,Unknown,0.0,unknown
8,122366356.0,Andreas  Schroeder,White,0.6454564929008484,demographicx
9,1436386109.0,Nabila B. El-Bandy,White,0.599705696105957,demographicx
10,108468656.0,Bruce  Thobane,White,0.774006187915802,demographicx
11,1422669577.0,Jeremy  Leslie-Spinks,Black or African American,0.9584134817123412,demographicx
12,118854623.0,Felipe Augusto Santana do Nascimento,Hispanic or Latino,0.9839851260185242,demographicx
13,67286669.0,M. F. Franklin,Black or African American,0.5677909851074219,demographicx
14,90768352.0,جلال  ستاره,Unknown,0.0,unknown
15,3612248.0,Outi  Kuittinen,White,0.9910317659378052,demographicx
16,1422511992.0,Noemi  Pérez-Felpete,Hispanic or Latino,0.9863828420639038,demographicx
17,15947578.0,Elvis  Pirev,Hispanic or Latino,0.9876668453216552,demographicx
18,38323679.0,M A Black,White,0.8933501839637756,demographicx
19,147273531.0,Leila Saud Abdulkadir,Black or African American,0.98615825176239,demographicx
20,33902936.0,Sheriza Mohd Razali,Asian,0.980466902256012,demographicx
21,50243708.0,Hubert,Unknown,0.0,unknown
22,117148386.0,Alfred T. Schofield,Black or African American,0.5738811492919922,demographicx
23,50487492.0,Yuko  Ueno,Asian,0.9971542358398438,demographicx
24,47704645.0,Yadira  Rangel,Hispanic or Latino,0.9908472299575806,demographicx
25,152222560.0,Tim  Foster,White,0.7618008255958557,ethnicolr
26,90907390.0,Maria T. Gomes,Asian,0.763527512550354,demographicx
27,49369192.0,Mohamed  Ghanem,Unknown,0.0,unknown
28,66694903.0,Biljana I. Steljić,White,0.9945250749588012,demographicx
29,73397567.0,Ernesto Acosta reyes,Hispanic or Latino,0.9978274703025818,demographicx
30,34905341.0,N. J. Harned,White,0.9528740048408508,demographicx
31,66972062.0,Amanat Ali Jalbani,Asian,0.9983945488929749,demographicx
32,89346789.0,Hosam M El Seadawy,Unknown,0.0,unknown
33,31132589.0,Ben  Cutler,Black or African American,0.9596011638641356,demographicx
34,14531533.0,Camille  Jacquemond,Unknown,0.0,unknown
35,7372489.0,Keith  Harshman,White,0.9729384183883668,demographicx
36,152902723.0,Marco Antonio de Meneses Silva,Hispanic or Latino,0.9331294298171996,demographicx
37,49275416.0,Enrique  Soto,Hispanic or Latino,0.9467505216598512,ethnicolr
38,92186731.0,Jf  Morris,Black or African American,0.8755457401275635,demographicx
39,102650399.0,Lutz  Gromoll,White,0.9974545836448668,demographicx
40,34110355.0,Mongi  Besbes,Asian,0.9913124442100524,demographicx
41,81537091.0,Alfred W. Campbell,Black or African American,0.7489156126976013,demographicx
42,108471498.0,Pierre François Indermuehle,White,0.9820660948753356,demographicx
43,113721936.0,Mabel,Unknown,0.0,unknown
44,52484504.0,Douglas S Robinson,Black or African American,0.7236722111701965,demographicx
45,117787427.0,M.  Seidlitz,White,0.6403356194496155,demographicx
46,1423701086.0,Angelia,Unknown,0.0,unknown
